,ROOT,All,1,100%,R
  ROOT,EQ-US,EQ-US,1,=3/12,G
    EQ-US,EQ-US-LB,EQ-US-LB,1,=1/3,AC
    EQ-US,EQ-US-MB,EQ-US-MB,2,=1/3,AC
    EQ-US,EQ-US-SB,EQ-US-SB,3,=1/3,AC
  ROOT,EQ-I,EQ-I,2,=2/12,G
    EQ-I,EQ-ID,EQ-ID-TSM,1,50%,AC
    EQ-I,EQ-IE,EQ-IE-TSM,2,50%,AC
  ROOT,FI1,FI-IT-GOV,3,=2/12,G
    FI1,FI-NOM,FI-IT-ANY,1,50%,AC
    FI1,FI-IPS,FI-IT-IPS,2,50%,AC
  ROOT,FI-CASH,FI-CASH,4,=1/12,AC
  ROOT,FI-I,FI-XUS-IT-GOV,5,=1/12,AC
  ROOT,RE,OTHER-REIT-US,6,=1/12,AC
  ROOT,COM,OTHER-COM,7,=2/12,G
    COM,COM1,OTHER-COM-CCF,1,50%,AC
    COM,COM2,OTHER-COM-NR,2,50%,AC
